C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/main.py
+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.010     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:  51 | Epsilon:  0.17 | Reward: -24.89295085089094 | Average Reward: -167.913 | Steps: 11325 | Total Reward: -8563.565223280613|
| Episode:  52 | Epsilon:  0.16 | Reward: -174.62928786603604 | Average Reward: -168.042 | Steps: 11574 | Total Reward: -8738.194511146647|
| Episode:  53 | Epsilon:  0.16 | Reward: -69.16336299702067 | Average Reward: -166.177 | Steps: 11848 | Total Reward: -8807.357874143656|
| Episode:  54 | Epsilon:  0.16 | Reward: -166.72163162367042 | Average Reward: -166.187 | Steps: 12025 | Total Reward: -8974.07950576733|
| Episode:  55 | Epsilon:  0.15 | Reward: -96.66187564698247 | Average Reward: -164.923 | Steps: 12333 | Total Reward: -9070.741381414302|
| Episode:  56 | Epsilon:  0.15 | Reward: -220.94876073079547 | Average Reward: -165.923 | Steps: 12610 | Total Reward: -9291.6901421451|
| Episode:  57 | Epsilon:  0.15 | Reward: 70.71557700242316 | Average Reward: -161.771 | Steps: 13610 | Total Reward: -9220.9745651427|
| Episode:  58 | Epsilon:  0.15 | Reward: -253.2889376695454 | Average Reward: -163.349 | Steps: 13763 | Total Reward: -9474.263502812239|
| Episode:  59 | Epsilon:  0.14 | Reward: -141.5083537587576 | Average Reward: -162.979 | Steps: 14008 | Total Reward: -9615.771856570986|
| Episode:  60 | Epsilon:  0.14 | Reward: -273.53098067883354 | Average Reward: -164.822 | Steps: 14218 | Total Reward: -9889.302837249821|
| Episode:  61 | Epsilon:  0.14 | Reward: -178.84621456480383 | Average Reward: -165.052 | Steps: 14408 | Total Reward: -10068.149051814633|
| Episode:  62 | Epsilon:  0.14 | Reward: -148.4743546720141 | Average Reward: -164.784 | Steps: 14563 | Total Reward: -10216.623406486638|
| Episode:  63 | Epsilon:  0.14 | Reward: -196.13178847478468 | Average Reward: -165.282 | Steps: 14754 | Total Reward: -10412.755194961412|
| Episode:  64 | Epsilon:  0.13 | Reward: -173.66507665591192 | Average Reward: -165.413 | Steps: 14933 | Total Reward: -10586.420271617317|
| Episode:  65 | Epsilon:  0.13 | Reward: 99.82067615297899 | Average Reward: -161.332 | Steps: 15933 | Total Reward: -10486.59959546434|
| Episode:  66 | Epsilon:  0.13 | Reward: -355.17939976126695 | Average Reward: -164.269 | Steps: 16188 | Total Reward: -10841.77899522561|
| Episode:  67 | Epsilon:  0.13 | Reward: 17.94388037782744 | Average Reward: -161.550 | Steps: 16358 | Total Reward: -10823.835114847796|
| Episode:  68 | Epsilon:  0.13 | Reward: -44.580637940784754 | Average Reward: -159.830 | Steps: 16603 | Total Reward: -10868.415752788569|
| Episode:  69 | Epsilon:  0.13 | Reward: -227.5221520136092 | Average Reward: -160.811 | Steps: 16749 | Total Reward: -11095.937904802175|
| Episode:  70 | Epsilon:  0.13 | Reward: -249.01200043727852 | Average Reward: -162.071 | Steps: 16926 | Total Reward: -11344.949905239451|
| Episode:  71 | Epsilon:  0.12 | Reward: -258.3447592369721 | Average Reward: -163.427 | Steps: 17242 | Total Reward: -11603.294664476423|
| Episode:  72 | Epsilon:  0.12 | Reward: -225.86117825712637 | Average Reward: -164.294 | Steps: 17469 | Total Reward: -11829.155842733557|
| Episode:  73 | Epsilon:  0.12 | Reward: -113.2861493994303 | Average Reward: -163.595 | Steps: 17656 | Total Reward: -11942.441992132972|
| Episode:  74 | Epsilon:  0.12 | Reward: -22.069277786208204 | Average Reward: -161.683 | Steps: 17959 | Total Reward: -11964.511269919161|
| Episode:  75 | Epsilon:  0.12 | Reward: -20.518626104645264 | Average Reward: -159.800 | Steps: 18300 | Total Reward: -11985.029896023796|
| Episode:  76 | Epsilon:  0.12 | Reward: 25.599093585917387 | Average Reward: -157.361 | Steps: 18618 | Total Reward: -11959.43080243787|
| Episode:  77 | Epsilon:  0.12 | Reward: -95.2692207326073 | Average Reward: -156.555 | Steps: 18740 | Total Reward: -12054.700023170479|
| Episode:  78 | Epsilon:  0.12 | Reward: -19.877500793421504 | Average Reward: -154.802 | Steps: 19017 | Total Reward: -12074.577523963908|
| Episode:  79 | Epsilon:  0.12 | Reward: -78.68903681234647 | Average Reward: -153.839 | Steps: 19277 | Total Reward: -12153.26656077625|
| Episode:  80 | Epsilon:  0.12 | Reward: -163.81814717369252 | Average Reward: -153.964 | Steps: 19516 | Total Reward: -12317.08470794994|
| Episode:  81 | Epsilon:  0.11 | Reward: -54.862669290486004 | Average Reward: -152.740 | Steps: 19688 | Total Reward: -12371.947377240422|
| Episode:  82 | Epsilon:  0.11 | Reward: -201.69001082474372 | Average Reward: -153.337 | Steps: 19868 | Total Reward: -12573.637388065163|
| Episode:  83 | Epsilon:  0.11 | Reward: -384.5869235355881 | Average Reward: -156.123 | Steps: 20044 | Total Reward: -12958.224311600747|
| Episode:  84 | Epsilon:  0.11 | Reward: 0.27419385812842734 | Average Reward: -154.261 | Steps: 20224 | Total Reward: -12957.950117742623|
| Episode:  85 | Epsilon:  0.11 | Reward: 14.60321749189147 | Average Reward: -152.275 | Steps: 20353 | Total Reward: -12943.346900250737|
| Episode:  86 | Epsilon:  0.11 | Reward: 35.91271120148332 | Average Reward: -150.086 | Steps: 20507 | Total Reward: -12907.434189049254|
| Episode:  87 | Epsilon:  0.11 | Reward: -249.17387444355614 | Average Reward: -151.225 | Steps: 20731 | Total Reward: -13156.608063492811|
| Episode:  88 | Epsilon:  0.11 | Reward: -42.559466086735036 | Average Reward: -149.991 | Steps: 20978 | Total Reward: -13199.16752957955|
| Episode:  89 | Epsilon:  0.11 | Reward: -226.03755110201342 | Average Reward: -150.845 | Steps: 21279 | Total Reward: -13425.205080681562|
| Episode:  90 | Epsilon:  0.11 | Reward: -264.2859368170283 | Average Reward: -152.105 | Steps: 21471 | Total Reward: -13689.491017498587|
| Episode:  91 | Epsilon:  0.11 | Reward: -235.13745163609224 | Average Reward: -153.018 | Steps: 21678 | Total Reward: -13924.628469134672|
| Episode:  92 | Epsilon:  0.11 | Reward: -35.25853813334872 | Average Reward: -151.738 | Steps: 21926 | Total Reward: -13959.887007268018|
| Episode:  93 | Epsilon:  0.11 | Reward: -313.98245233668274 | Average Reward: -153.482 | Steps: 22179 | Total Reward: -14273.8694596047|
| Episode:  94 | Epsilon:  0.11 | Reward: -42.268029461740724 | Average Reward: -152.299 | Steps: 22382 | Total Reward: -14316.137489066432|
| Episode:  95 | Epsilon:  0.11 | Reward: -238.59339479296634 | Average Reward: -153.208 | Steps: 22563 | Total Reward: -14554.7308838594|
| Episode:  96 | Epsilon:  0.11 | Reward: -265.8721381184738 | Average Reward: -154.381 | Steps: 22774 | Total Reward: -14820.603021977864|
| Episode:  97 | Epsilon:  0.11 | Reward: -73.06672307347311 | Average Reward: -153.543 | Steps: 23099 | Total Reward: -14893.669745051331|
| Episode:  98 | Epsilon:  0.11 | Reward: -70.29990536680049 | Average Reward: -152.694 | Steps: 23285 | Total Reward: -14963.969650418145|
| Episode:  99 | Epsilon:  0.11 | Reward: -261.2913816506619 | Average Reward: -153.791 | Steps: 23488 | Total Reward: -15225.261032068813|
| Episode: 100 | Epsilon:  0.11 | Reward: -84.97799344813221 | Average Reward: -153.102 | Steps: 23759 | Total Reward: -15310.239025516941|
| Episode: 101 | Epsilon:  0.11 | Reward: -12.7554686149699 | Average Reward: -152.374 | Steps: 23959 | Total Reward: -15322.994494131905|
| Episode: 102 | Epsilon:  0.11 | Reward: -179.94686793033958 | Average Reward: -152.787 | Steps: 24173 | Total Reward: -15502.941362062244|
| Episode: 103 | Epsilon:  0.10 | Reward: -246.8931272762005 | Average Reward: -152.464 | Steps: 24326 | Total Reward: -15749.834489338446|
| Episode: 104 | Epsilon:  0.10 | Reward: -42.43042307790653 | Average Reward: -151.974 | Steps: 24539 | Total Reward: -15792.264912416347|
| Episode: 105 | Epsilon:  0.10 | Reward: -261.6530488242932 | Average Reward: -153.232 | Steps: 24814 | Total Reward: -16053.917961240642|
| Episode: 106 | Epsilon:  0.10 | Reward: -77.74658540316946 | Average Reward: -151.719 | Steps: 24960 | Total Reward: -16131.664546643822|
| Episode: 107 | Epsilon:  0.10 | Reward: -229.84381044061578 | Average Reward: -153.270 | Steps: 25261 | Total Reward: -16361.508357084449|
| Episode: 108 | Epsilon:  0.10 | Reward: -42.90002123462136 | Average Reward: -148.467 | Steps: 25453 | Total Reward: -16404.40837831908|
| Episode: 109 | Epsilon:  0.10 | Reward: 54.75966565326675 | Average Reward: -145.623 | Steps: 25595 | Total Reward: -16349.648712665803|
| Episode: 110 | Epsilon:  0.10 | Reward: -171.87146174896827 | Average Reward: -144.443 | Steps: 25712 | Total Reward: -16521.520174414767|
| Episode: 111 | Epsilon:  0.10 | Reward: -113.00077124285681 | Average Reward: -141.360 | Steps: 25832 | Total Reward: -16634.52094565762|
| Episode: 112 | Epsilon:  0.10 | Reward: -156.71047629712928 | Average Reward: -139.314 | Steps: 25999 | Total Reward: -16791.23142195473|
| Episode: 113 | Epsilon:  0.10 | Reward: -6.644992723612106 | Average Reward: -135.092 | Steps: 26183 | Total Reward: -16797.876414678343|
| Episode: 114 | Epsilon:  0.10 | Reward: -499.3785648300908 | Average Reward: -135.473 | Steps: 26345 | Total Reward: -17297.254979508423|
| Episode: 115 | Epsilon:  0.10 | Reward: -275.3344798850658 | Average Reward: -133.017 | Steps: 26582 | Total Reward: -17572.58945939348|
| Episode: 116 | Epsilon:  0.10 | Reward: -475.66673082217653 | Average Reward: -137.535 | Steps: 26789 | Total Reward: -18048.256190215674|
| Episode: 117 | Epsilon:  0.10 | Reward: -201.0331185112111 | Average Reward: -139.189 | Steps: 26978 | Total Reward: -18249.289308726875|
| Episode: 118 | Epsilon:  0.10 | Reward: 73.24174199361164 | Average Reward: -137.957 | Steps: 27978 | Total Reward: -18176.047566733323|
| Episode: 119 | Epsilon:  0.10 | Reward: -53.1804169004343 | Average Reward: -139.386 | Steps: 28186 | Total Reward: -18229.227983633762|
| Episode: 120 | Epsilon:  0.10 | Reward: -97.77529094339351 | Average Reward: -139.083 | Steps: 28401 | Total Reward: -18327.00327457717|
| Episode: 121 | Epsilon:  0.10 | Reward: -291.28261805227567 | Average Reward: -141.574 | Steps: 28546 | Total Reward: -18618.285892629432|
| Episode: 122 | Epsilon:  0.10 | Reward: -45.80887298319624 | Average Reward: -141.996 | Steps: 28717 | Total Reward: -18664.09476561264|
| Episode: 123 | Epsilon:  0.10 | Reward: -100.97381677213733 | Average Reward: -141.711 | Steps: 28910 | Total Reward: -18765.068582384763|
| Episode: 124 | Epsilon:  0.10 | Reward: -263.6457831757026 | Average Reward: -143.166 | Steps: 29065 | Total Reward: -19028.71436556046|
| Episode: 125 | Epsilon:  0.10 | Reward: -106.89772106695891 | Average Reward: -141.904 | Steps: 29272 | Total Reward: -19135.61208662743|
| Episode: 126 | Epsilon:  0.10 | Reward: -161.54558227734537 | Average Reward: -142.991 | Steps: 29404 | Total Reward: -19297.157668904758|
| Episode: 127 | Epsilon:  0.10 | Reward: -176.41485717289 | Average Reward: -142.905 | Steps: 29679 | Total Reward: -19473.572526077653|
| Episode: 128 | Epsilon:  0.10 | Reward: 96.10483939684721 | Average Reward: -141.043 | Steps: 30679 | Total Reward: -19377.467686680808|
| Episode: 129 | Epsilon:  0.10 | Reward: -173.91781613480225 | Average Reward: -141.184 | Steps: 30903 | Total Reward: -19551.38550281558|
| Episode: 130 | Epsilon:  0.10 | Reward: -77.1683596045166 | Average Reward: -140.867 | Steps: 31004 | Total Reward: -19628.553862420096|
| Episode: 131 | Epsilon:  0.10 | Reward: -38.918412347740045 | Average Reward: -139.071 | Steps: 31149 | Total Reward: -19667.47227476784|
| Episode: 132 | Epsilon:  0.10 | Reward: 138.3518822352906 | Average Reward: -134.842 | Steps: 31898 | Total Reward: -19529.12039253251|
| Episode: 133 | Epsilon:  0.10 | Reward: -144.91212686296154 | Average Reward: -135.566 | Steps: 31992 | Total Reward: -19674.03251939548|
