C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/fsdf.py
+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.000     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:  98 | Epsilon:  0.11 | Reward: -23.895082041289456 | Average Reward: -182.090 | Steps: 17124 | Total Reward: -17844.785532201833|
| Episode:  99 | Epsilon:  0.11 | Reward: -306.95759004247657 | Average Reward: -183.351 | Steps: 17327 | Total Reward: -18151.743122244316|
| Episode: 100 | Epsilon:  0.11 | Reward: -182.56380263420667 | Average Reward: -183.343 | Steps: 17569 | Total Reward: -18334.306924878507|
| Episode: 101 | Epsilon:  0.11 | Reward: -208.1745858409105 | Average Reward: -183.210 | Steps: 17734 | Total Reward: -18542.481510719426|
| Episode: 102 | Epsilon:  0.11 | Reward: -37.00225465995655 | Average Reward: -182.842 | Steps: 17922 | Total Reward: -18579.48376537938|
| Episode: 103 | Epsilon:  0.10 | Reward: -228.17526194885312 | Average Reward: -183.492 | Steps: 18080 | Total Reward: -18807.65902732823|
| Episode: 104 | Epsilon:  0.10 | Reward: -242.1213131752441 | Average Reward: -182.076 | Steps: 18241 | Total Reward: -19049.78034050348|
| Episode: 105 | Epsilon:  0.10 | Reward: -113.36034757610803 | Average Reward: -180.348 | Steps: 18464 | Total Reward: -19163.140688079595|
| Episode: 106 | Epsilon:  0.10 | Reward: 159.65250561772893 | Average Reward: -173.339 | Steps: 19158 | Total Reward: -19003.488182461868|
| Episode: 107 | Epsilon:  0.10 | Reward: -257.45807354521344 | Average Reward: -172.840 | Steps: 19375 | Total Reward: -19260.94625600709|
| Episode: 108 | Epsilon:  0.10 | Reward: 19.86326534538746 | Average Reward: -170.058 | Steps: 19600 | Total Reward: -19241.082990661693|
| Episode: 109 | Epsilon:  0.10 | Reward: -150.09102504578593 | Average Reward: -167.838 | Steps: 19904 | Total Reward: -19391.17401570746|
| Episode: 110 | Epsilon:  0.10 | Reward: -64.29089561011241 | Average Reward: -165.648 | Steps: 20062 | Total Reward: -19455.46491131759|
| Episode: 111 | Epsilon:  0.10 | Reward: -459.28873622810994 | Average Reward: -164.817 | Steps: 20165 | Total Reward: -19914.753647545724|
| Episode: 112 | Epsilon:  0.10 | Reward: -216.17368291839102 | Average Reward: -163.432 | Steps: 20335 | Total Reward: -20130.927330464114|
| Episode: 113 | Epsilon:  0.10 | Reward: -80.52008972807403 | Average Reward: -160.889 | Steps: 20509 | Total Reward: -20211.447420192184|
| Episode: 114 | Epsilon:  0.10 | Reward: -131.27421399048868 | Average Reward: -152.681 | Steps: 20653 | Total Reward: -20342.721634182646|
| Episode: 115 | Epsilon:  0.10 | Reward: 169.51005806816457 | Average Reward: -147.508 | Steps: 21588 | Total Reward: -20173.211576114456|
| Episode: 116 | Epsilon:  0.10 | Reward: -295.94191585971066 | Average Reward: -146.949 | Steps: 21766 | Total Reward: -20469.153491974153|
| Episode: 117 | Epsilon:  0.10 | Reward: 9.845128070529881 | Average Reward: -144.778 | Steps: 22031 | Total Reward: -20459.308363903623|
| Episode: 118 | Epsilon:  0.10 | Reward: -200.06705518840704 | Average Reward: -145.833 | Steps: 22222 | Total Reward: -20659.375419092063|
| Episode: 119 | Epsilon:  0.10 | Reward: -301.2856736122437 | Average Reward: -147.995 | Steps: 22370 | Total Reward: -20960.661092704308|
| Episode: 120 | Epsilon:  0.10 | Reward: -175.92562268740414 | Average Reward: -149.288 | Steps: 22535 | Total Reward: -21136.586715391706|
| Episode: 121 | Epsilon:  0.10 | Reward: -156.57456870965922 | Average Reward: -146.840 | Steps: 22685 | Total Reward: -21293.161284101363|
| Episode: 122 | Epsilon:  0.10 | Reward: -210.98553887932616 | Average Reward: -145.854 | Steps: 22862 | Total Reward: -21504.146822980663|
| Episode: 123 | Epsilon:  0.10 | Reward: -238.08911668116755 | Average Reward: -144.344 | Steps: 23045 | Total Reward: -21742.235939661852|
| Episode: 124 | Epsilon:  0.10 | Reward: -45.64525867893177 | Average Reward: -143.834 | Steps: 23263 | Total Reward: -21787.88119834077|
| Episode: 125 | Epsilon:  0.10 | Reward: -10.58327239894021 | Average Reward: -140.692 | Steps: 23507 | Total Reward: -21798.464470739706|
| Episode: 126 | Epsilon:  0.10 | Reward: -23.246488641946442 | Average Reward: -137.726 | Steps: 23707 | Total Reward: -21821.710959381675|
| Episode: 127 | Epsilon:  0.10 | Reward: -215.46754908285044 | Average Reward: -137.290 | Steps: 23948 | Total Reward: -22037.17850846454|
| Episode: 128 | Epsilon:  0.10 | Reward: -25.39300449873558 | Average Reward: -135.236 | Steps: 24127 | Total Reward: -22062.571512963295|
| Episode: 129 | Epsilon:  0.10 | Reward: 14.85533484931608 | Average Reward: -133.292 | Steps: 24304 | Total Reward: -22047.71617811395|
| Episode: 130 | Epsilon:  0.10 | Reward: -212.55454297611138 | Average Reward: -135.747 | Steps: 24485 | Total Reward: -22260.27072109005|
| Episode: 131 | Epsilon:  0.10 | Reward: -20.75488259524002 | Average Reward: -133.261 | Steps: 24675 | Total Reward: -22281.025603685288|
| Episode: 132 | Epsilon:  0.10 | Reward: -38.946715168130055 | Average Reward: -133.478 | Steps: 24909 | Total Reward: -22319.97231885342|
| Episode: 133 | Epsilon:  0.10 | Reward: -180.17870656324408 | Average Reward: -135.257 | Steps: 25116 | Total Reward: -22500.151025416668|
| Episode: 134 | Epsilon:  0.10 | Reward: -253.1672317263462 | Average Reward: -137.527 | Steps: 25309 | Total Reward: -22753.318257143|
| Episode: 135 | Epsilon:  0.10 | Reward: -146.14733087809947 | Average Reward: -133.989 | Steps: 25500 | Total Reward: -22899.465588021085|
| Episode: 136 | Epsilon:  0.10 | Reward: -242.103332562922 | Average Reward: -135.705 | Steps: 25804 | Total Reward: -23141.568920584014|
| Episode: 137 | Epsilon:  0.10 | Reward: -227.99298035430198 | Average Reward: -135.178 | Steps: 26047 | Total Reward: -23369.56190093832|
| Episode: 138 | Epsilon:  0.10 | Reward: -231.53992126589355 | Average Reward: -135.356 | Steps: 26255 | Total Reward: -23601.101822204197|
| Episode: 139 | Epsilon:  0.10 | Reward: -31.616248557614966 | Average Reward: -134.407 | Steps: 26420 | Total Reward: -23632.718070761803|
| Episode: 140 | Epsilon:  0.10 | Reward: -186.78200698007907 | Average Reward: -135.632 | Steps: 26617 | Total Reward: -23819.500077741857|
| Episode: 141 | Epsilon:  0.10 | Reward: -147.15471911733684 | Average Reward: -134.022 | Steps: 26831 | Total Reward: -23966.654796859206|
| Episode: 142 | Epsilon:  0.10 | Reward: 18.990389768473236 | Average Reward: -131.208 | Steps: 27018 | Total Reward: -23947.664407090746|
| Episode: 143 | Epsilon:  0.10 | Reward: -191.6257205424023 | Average Reward: -130.811 | Steps: 27222 | Total Reward: -24139.290127633136|
| Episode: 144 | Epsilon:  0.10 | Reward: -183.1712551162573 | Average Reward: -132.562 | Steps: 27447 | Total Reward: -24322.4613827494|
| Episode: 145 | Epsilon:  0.10 | Reward: -238.39171985163097 | Average Reward: -133.710 | Steps: 27689 | Total Reward: -24560.85310260105|
| Episode: 146 | Epsilon:  0.10 | Reward: -13.250436823540838 | Average Reward: -131.740 | Steps: 27872 | Total Reward: -24574.103539424596|
| Episode: 147 | Epsilon:  0.10 | Reward: -61.262155612707524 | Average Reward: -131.520 | Steps: 28025 | Total Reward: -24635.36569503729|
| Episode: 148 | Epsilon:  0.10 | Reward: -75.47054742225586 | Average Reward: -130.264 | Steps: 28221 | Total Reward: -24710.836242459525|
| Episode: 149 | Epsilon:  0.10 | Reward: -16.33424569634394 | Average Reward: -128.302 | Steps: 28415 | Total Reward: -24727.17048815586|
| Episode: 150 | Epsilon:  0.10 | Reward: -196.78787059753347 | Average Reward: -128.223 | Steps: 28581 | Total Reward: -24923.958358753378|
| Episode: 151 | Epsilon:  0.10 | Reward: -171.3629772412698 | Average Reward: -129.172 | Steps: 28770 | Total Reward: -25095.321335994624|
| Episode: 152 | Epsilon:  0.10 | Reward: -205.70470028804093 | Average Reward: -130.755 | Steps: 28985 | Total Reward: -25301.026036282685|
| Episode: 153 | Epsilon:  0.10 | Reward: -123.08491973027787 | Average Reward: -129.677 | Steps: 29180 | Total Reward: -25424.110956012963|
| Episode: 154 | Epsilon:  0.10 | Reward: -164.13209567350185 | Average Reward: -129.732 | Steps: 29351 | Total Reward: -25588.24305168645|
| Episode: 155 | Epsilon:  0.10 | Reward: -117.84322240406429 | Average Reward: -129.631 | Steps: 29527 | Total Reward: -25706.086274090525|
| Episode: 156 | Epsilon:  0.10 | Reward: -174.73919723961725 | Average Reward: -131.092 | Steps: 29701 | Total Reward: -25880.82547133013|
