+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
| Episode:  88 | Epsilon:  0.11 | Reward: -156.41734850309652 | Average Reward: -222.803 | Steps:  6604 | Total Reward: -19606.64166282463|
| Episode:  89 | Epsilon:  0.11 | Reward: -107.55004885902045 | Average Reward: -221.508 | Steps:  6676 | Total Reward: -19714.191711683656|
| Episode:  90 | Epsilon:  0.11 | Reward: -147.37046448258903 | Average Reward: -220.684 | Steps:  6732 | Total Reward: -19861.562176166237|
| Episode:  91 | Epsilon:  0.11 | Reward: -156.00985382714538 | Average Reward: -219.973 | Steps:  6814 | Total Reward: -20017.572029993393|
| Episode:  92 | Epsilon:  0.11 | Reward: -108.08411905732092 | Average Reward: -218.757 | Steps:  6892 | Total Reward: -20125.656149050716|
| Episode:  93 | Epsilon:  0.11 | Reward: 25.46662780790372 | Average Reward: -216.131 | Steps:  6982 | Total Reward: -20100.189521242813|
| Episode:  94 | Epsilon:  0.11 | Reward: -229.24774107248555 | Average Reward: -216.271 | Steps:  7069 | Total Reward: -20329.437262315307|
| Episode:  95 | Epsilon:  0.11 | Reward: -138.09035236980603 | Average Reward: -215.448 | Steps:  7142 | Total Reward: -20467.527614685117|
| Episode:  96 | Epsilon:  0.11 | Reward: -189.9418007266351 | Average Reward: -215.182 | Steps:  7210 | Total Reward: -20657.469415411746|
| Episode:  97 | Epsilon:  0.11 | Reward: -139.99275125387103 | Average Reward: -214.407 | Steps:  7275 | Total Reward: -20797.46216666561|
