| Episode:  85 | Epsilon:  0.20 | Reward:   1.0 | Average Reward: 1.529 | steps: 20174 | Total Reward: 130.0|
| Episode:  86 | Epsilon:  0.19 | Reward:   0.0 | Average Reward: 1.512 | steps: 20328 | Total Reward: 130.0|
| Episode:  87 | Epsilon:  0.19 | Reward:   0.0 | Average Reward: 1.494 | steps: 20477 | Total Reward: 130.0|
| Episode:  88 | Epsilon:  0.19 | Reward:   6.0 | Average Reward: 1.545 | steps: 20936 | Total Reward: 136.0|
| Episode:  89 | Epsilon:  0.19 | Reward:   0.0 | Average Reward: 1.528 | steps: 21169 | Total Reward: 136.0|
| Episode:  90 | Epsilon:  0.18 | Reward:   2.0 | Average Reward: 1.533 | steps: 21424 | Total Reward: 138.0|
| Episode:  91 | Epsilon:  0.18 | Reward:   2.0 | Average Reward: 1.538 | steps: 21667 | Total Reward: 140.0|
| Episode:  92 | Epsilon:  0.18 | Reward:   2.0 | Average Reward: 1.543 | steps: 21921 | Total Reward: 142.0|
| Episode:  93 | Epsilon:  0.18 | Reward:   3.0 | Average Reward: 1.559 | steps: 22212 | Total Reward: 145.0|
| Episode:  94 | Epsilon:  0.18 | Reward:   0.0 | Average Reward: 1.543 | steps: 22368 | Total Reward: 145.0|
| Episode:  95 | Epsilon:  0.17 | Reward:   0.0 | Average Reward: 1.526 | steps: 22529 | Total Reward: 145.0|
| Episode:  96 | Epsilon:  0.17 | Reward:   0.0 | Average Reward: 1.510 | steps: 22678 | Total Reward: 145.0|
| Episode:  97 | Epsilon:  0.17 | Reward:   0.0 | Average Reward: 1.495 | steps: 22834 | Total Reward: 145.0|
| Episode:  98 | Epsilon:  0.17 | Reward:   1.0 | Average Reward: 1.490 | steps: 23024 | Total Reward: 146.0|
| Episode:  99 | Epsilon:  0.17 | Reward:   2.0 | Average Reward: 1.495 | steps: 23302 | Total Reward: 148.0|
| Episode: 100 | Epsilon:  0.17 | Reward:   0.0 | Average Reward: 1.480 | steps: 23460 | Total Reward: 148.0|
